year,title,citations,authors,editorial
"2022","Blockchain Technologies","0","","SPRINGER"
"2022","Discussion on: “Programmable money: next generation blockchain based conditional payments” by Ingo Weber and Mark Staples","0","Audrius Kabasinskas","SPRINGER"
"2022","Retraction Note: Blockchain-based intelligent contract for factoring business in supply chains","0","Kangning Zheng, Zuopeng Zhang, Jeffrey Gauthier","SPRINGER"
"2022","Multimedia security based on quantum cryptography and blockchain","1","","SPRINGER"
"2022","Usage of Blockchain Technology in e-Voting System Using Private Blockchain","1","Suman Majumder, Sangram Ray","SPRINGER"
"2022","A Review of Blockchain and the Benefits for Digital Marketing-Related Applications of Blockchain Integration","0","M. Abirou, N. Abghour","SPRINGER"
"2022","Wavelet Application to Blockchain Technology Systems","0","Cajetan M. Akujuobi","SPRINGER"
"2022","Development of a Blockchain-Based Survival Game for Blockchain Education","1","Chibuzor Udokwu, Alex Norta","SPRINGER"
"2022","Blockchain Policy Tool Selection in CHina’s Blockchain Industry Clustering Areas","0","Jiqiang Tang, Zhen Wu, Yuxi Zhang, Xiaotuo Qiao","SPRINGER"
"2022","The Book of Crypto","6","Henri Arslanian","SPRINGER"
"2022","Big Data Privacy and Security in Smart Cities","0","Richard Jiang, Ahmed Bouridane","SPRINGER"
"2022","Advances in Information and Communication","14","Prof. Dr. Kohei Arai","SPRINGER"
"2022","Blockchain Consensus	","1","Imran Bashir","SPRINGER"
"2022","Sovereignty Blockchain 2.0","0","Lian Yuming","SPRINGER"
"2022","Implementing and Leveraging Blockchain Programming","11","Dr. Bharat S. Rawal","SPRINGER"
"2022","Blockchain in Life Sciences","2","Wendy Charles","SPRINGER"
"2022","Advanced Information Networking and Applications","28","Prof. Dr. Leonard Barolli","SPRINGER"
"2022","Contemporary Research in Accounting and Finance","1","Dr. Abdelghani Echchabi","SPRINGER"
"2022","Web Information Systems and Applications","1","Xiang Zhao, Shiyu Yang, Xin Wang","SPRINGER"
"2022","Blockchain Technology for Business Processes","0","Prof. Dr. Katarina Adam","SPRINGER"
"2022","Blockchain Technologies","0","","SPRINGER"
"2022","Discussion on: “Programmable money: next generation blockchain based conditional payments” by Ingo Weber and Mark Staples","0","Audrius Kabasinskas","SPRINGER"
"2022","Retraction Note: Blockchain-based intelligent contract for factoring business in supply chains","0","Kangning Zheng, Zuopeng Zhang, Jeffrey Gauthier","SPRINGER"
"2022","Multimedia security based on quantum cryptography and blockchain","1","","SPRINGER"
"2022","Usage of Blockchain Technology in e-Voting System Using Private Blockchain","1","Suman Majumder, Sangram Ray","SPRINGER"
"2022","A Review of Blockchain and the Benefits for Digital Marketing-Related Applications of Blockchain Integration","0","M. Abirou, N. Abghour","SPRINGER"
"2022","Wavelet Application to Blockchain Technology Systems","0","Cajetan M. Akujuobi","SPRINGER"
"2022","Development of a Blockchain-Based Survival Game for Blockchain Education","1","Chibuzor Udokwu, Alex Norta","SPRINGER"
"2022","Blockchain Policy Tool Selection in CHina’s Blockchain Industry Clustering Areas","0","Jiqiang Tang, Zhen Wu, Yuxi Zhang, Xiaotuo Qiao","SPRINGER"
"2022","The Book of Crypto","6","Henri Arslanian","SPRINGER"
"2022","Big Data Privacy and Security in Smart Cities","0","Richard Jiang, Ahmed Bouridane","SPRINGER"
"2022","Advances in Information and Communication","14","Prof. Dr. Kohei Arai","SPRINGER"
"2022","Blockchain Consensus	","1","Imran Bashir","SPRINGER"
"2022","Sovereignty Blockchain 2.0","0","Lian Yuming","SPRINGER"
"2022","Implementing and Leveraging Blockchain Programming","11","Dr. Bharat S. Rawal","SPRINGER"
