year,title,citations,authors,editorial
"2020","Unlocking Blockchain on Azure","1","Shilpa Karkeraa","SPRINGER"
"2020","Decoding Blockchain for Business","3","Stijn Van Hijfte","SPRINGER"
"2020","Learn Blockchain by Building One","4","Daniel van Flymen","SPRINGER"
"2020","Mathematical Research for Blockchain Economy","64","Dr. Panos Pardalos","SPRINGER"
"2020","Blockchain: Empowering Secure Data Sharing","3","Prof. Meng Shen, Prof. Liehuang Zhu","SPRINGER"
"2020","Blockchain Technology for Industry 4.0","97","Prof. Dr. Rodrigo da Rosa Righi","SPRINGER"
"2020","Blockchain Cybersecurity, Trust and Privacy","158","Kim-Kwang Raymond Choo","SPRINGER"
"2020","Blockchain Technology for Smart Cities","22","Dr. Dhananjay Singh","SPRINGER"
"2020","Mathematical Research for Blockchain Economy","40","Dr. Panos Pardalos","SPRINGER"
"2020","Advanced Applications of Blockchain Technology","164","Prof. Shiho Kim","SPRINGER"
"2020","The Executive Guide to Blockchain","7","Maria Grazia Vigliotti, Haydn Jones","SPRINGER"
"2020","Blockchain-Based Currencies","0","","SPRINGER"
"2020","Enterprises and Future Disruptive Technological Innovations: Exploring Blockchain Ledger Description Framework (BLDF) for the Design and Development of Blockchain Use Cases","0","Hock Chuan Lim","SPRINGER"
"2020","Correction to: Blockchain in travel","0","B. Vinod","SPRINGER"
"2020","Blockchain-enabled multimedia in industrial IoT","3","","SPRINGER"
"2020","Wireless Blockchain Networks","0","","SPRINGER"
"2020","Blockchain Ethics: A Systematic Literature Review of Blockchain Research","4","Sami Hyrynsalmi, Sonja M. Hyrynsalmi","SPRINGER"
"2020","Blockchain in der Umfrageforschung – Integrität, Authentizität und Monetarisierung von Umfragedaten mittels Blockchain","0","Stefan Oglesby","SPRINGER"
"2020","Blockchain","0","","SPRINGER"
"2020","Correction to: Blockchain-based business process management (BPM) framework for service composition in industry 4.0","2","Wattana Viriyasitavat, Li Da Xu, Zhuming Bi","SPRINGER"
"2020","Unlocking Blockchain on Azure","1","Shilpa Karkeraa","SPRINGER"
"2020","Decoding Blockchain for Business","3","Stijn Van Hijfte","SPRINGER"
"2020","Learn Blockchain by Building One","4","Daniel van Flymen","SPRINGER"
"2020","Mathematical Research for Blockchain Economy","64","Dr. Panos Pardalos","SPRINGER"
"2020","Blockchain: Empowering Secure Data Sharing","3","Prof. Meng Shen, Prof. Liehuang Zhu","SPRINGER"
"2020","Blockchain Technology for Industry 4.0","97","Prof. Dr. Rodrigo da Rosa Righi","SPRINGER"
"2020","Blockchain Cybersecurity, Trust and Privacy","158","Kim-Kwang Raymond Choo","SPRINGER"
"2020","Blockchain Technology for Smart Cities","22","Dr. Dhananjay Singh","SPRINGER"
"2020","Mathematical Research for Blockchain Economy","40","Dr. Panos Pardalos","SPRINGER"
"2020","Advanced Applications of Blockchain Technology","164","Prof. Shiho Kim","SPRINGER"
"2020","The Executive Guide to Blockchain","7","Maria Grazia Vigliotti, Haydn Jones","SPRINGER"
"2020","Blockchain-Based Currencies","0","","SPRINGER"
